,daily,daily_lower,daily_upper,ds,y,yhat_lower,yhat_upper
56,0.299420658,0.299420658,0.299420658,03/01/2016 8:00,164.3154295,40.3389082,592.1502527
57,0.953564268,0.953564268,0.953564268,03/01/2016 9:00,523.303862,129.8535969,1816.69273
58,3.394266679,3.394266679,3.394266679,03/01/2016 10:00,1862.761773,445.7905974,6942.636955
59,7.800109498,7.800109498,7.800109498,03/01/2016 11:00,4280.745811,1046.371372,16014.19957
60,10.54663655,10.54663655,10.54663655,03/01/2016 12:00,5788.154377,1526.073229,22690.95991
61,11.81315606,11.81315606,11.81315606,03/01/2016 13:00,6483.349771,1723.209479,24325.48587
62,15.05782282,15.05782282,15.05782282,03/01/2016 14:00,8264.242991,2163.423133,31233.66605
63,19.41787295,19.41787295,19.41787295,03/01/2016 15:00,10657.36735,2638.294971,45098.45223
64,15.7371823,15.7371823,15.7371823,03/01/2016 16:00,8637.392216,2375.294495,33169.30419
65,5.766906697,5.766906697,5.766906697,03/01/2016 17:00,3165.235115,853.9518461,10829.69509
66,1.220493961,1.220493961,1.220493961,03/01/2016 18:00,669.8939722,162.8353472,2556.670881
67,0.305739574,0.305739574,0.305739574,03/01/2016 19:00,167.814497,41.95483527,646.4031664
68,0.169067288,0.169067288,0.169067288,03/01/2016 20:00,92.79931931,22.97213304,349.6393827
69,0.210787712,0.210787712,0.210787712,03/01/2016 21:00,115.7012044,34.47380254,421.9368194
70,0.341564937,0.341564937,0.341564937,03/01/2016 22:00,187.4879053,46.39117741,690.7166862
71,0.39802779,0.39802779,0.39802779,03/01/2016 23:00,218.4845614,55.68954538,715.3341526
72,0.297424502,0.297424502,0.297424502,04/01/2016 0:00,163.2643966,42.87822877,627.4711519
73,0.208980286,0.208980286,0.208980286,04/01/2016 1:00,114.7169121,32.08270892,444.5981601
74,0.209676084,0.209676084,0.209676084,04/01/2016 2:00,115.1008182,31.49400435,478.0911058
75,0.298980377,0.298980377,0.298980377,04/01/2016 3:00,164.1268309,44.67465938,605.823276
76,0.400166708,0.400166708,0.400166708,04/01/2016 4:00,219.6773284,57.43953762,872.4892183
77,0.349454434,0.349454434,0.349454434,04/01/2016 5:00,191.8413505,48.41094753,709.4478039
78,0.223838116,0.223838116,0.223838116,04/01/2016 6:00,122.8833648,32.71991321,493.329974
79,0.181463762,0.181463762,0.181463762,04/01/2016 7:00,99.62225023,26.37925131,437.7663812
80,0.299420658,0.299420658,0.299420658,04/01/2016 8:00,164.3825006,42.83639919,640.8986213
81,0.953564268,0.953564268,0.953564268,04/01/2016 9:00,523.5174669,128.2335731,1987.773465
82,3.394266679,3.394266679,3.394266679,04/01/2016 10:00,1863.522125,475.6058974,6517.53691
83,7.800109498,7.800109498,7.800109498,04/01/2016 11:00,4282.493147,1223.85652,15123.32085
84,10.54663655,10.54663655,10.54663655,04/01/2016 12:00,5790.517016,1665.179054,22729.47917
85,11.81315606,11.81315606,11.81315606,04/01/2016 13:00,6485.996178,1680.750691,23665.96106
86,15.05782282,15.05782282,15.05782282,04/01/2016 14:00,8267.616332,2195.806559,31372.65068
87,19.41787295,19.41787295,19.41787295,04/01/2016 15:00,10661.71752,2700.067594,42939.2767
88,15.7371823,15.7371823,15.7371823,04/01/2016 16:00,8640.917871,2291.046489,33615.43397
89,5.766906697,5.766906697,5.766906697,04/01/2016 17:00,3166.527116,816.38735,12644.84338
90,1.220493962,1.220493962,1.220493962,04/01/2016 18:00,670.167413,185.482972,2688.297388
91,0.305739574,0.305739574,0.305739574,04/01/2016 19:00,167.8829964,45.69623166,612.0513749
92,0.169067288,0.169067288,0.169067288,04/01/2016 20:00,92.83719862,23.27166559,343.1060941
93,0.210787712,0.210787712,0.210787712,04/01/2016 21:00,115.748432,30.30982981,404.6064789
94,0.341564937,0.341564937,0.341564937,04/01/2016 22:00,187.5644351,49.89352654,719.2353765
95,0.39802779,0.39802779,0.39802779,04/01/2016 23:00,218.5737435,55.9211128,832.2307154
96,0.297424502,0.297424502,0.297424502,05/01/2016 0:00,163.3310387,44.51442943,566.5708578
97,0.208980286,0.208980286,0.208980286,05/01/2016 1:00,114.7637379,31.98483777,464.1782705
98,0.209676084,0.209676084,0.209676084,05/01/2016 2:00,115.1478007,29.92364123,437.5935828
99,0.298980377,0.298980377,0.298980377,05/01/2016 3:00,164.1938251,43.1943264,640.6172669
100,0.400166708,0.400166708,0.400166708,05/01/2016 4:00,219.7669974,63.25630976,748.136593
101,0.349454434,0.349454434,0.349454434,05/01/2016 5:00,191.9196573,48.38432891,697.7631994
102,0.223838116,0.223838116,0.223838116,05/01/2016 6:00,122.933524,30.03209154,455.7536704
103,0.181463762,0.181463762,0.181463762,05/01/2016 7:00,99.66291456,23.78765623,358.6833384
104,0.299420658,0.299420658,0.299420658,05/01/2016 8:00,164.4495991,47.04254592,615.9668368
105,0.953564268,0.953564268,0.953564268,05/01/2016 9:00,523.731159,138.0704026,1982.811087
106,3.394266679,3.394266679,3.394266679,05/01/2016 10:00,1864.282787,502.8678024,7093.996147
107,7.800109498,7.800109498,7.800109498,05/01/2016 11:00,4284.241197,1194.640293,17297.31812
108,10.54663655,10.54663655,10.54663655,05/01/2016 12:00,5792.880619,1549.768638,21327.55474
109,11.81315606,11.81315606,11.81315606,05/01/2016 13:00,6488.643665,1731.393314,25235.89612
110,15.05782282,15.05782282,15.05782282,05/01/2016 14:00,8270.99105,2394.244631,32943.55177
111,19.41787295,19.41787295,19.41787295,05/01/2016 15:00,10666.06948,3034.693136,41086.72114
112,15.7371823,15.7371823,15.7371823,05/01/2016 16:00,8644.444966,2137.708729,31605.41899
113,5.766906697,5.766906697,5.766906697,05/01/2016 17:00,3167.819646,817.9639343,11750.017
114,1.220493962,1.220493962,1.220493962,05/01/2016 18:00,670.4409654,167.2916267,2475.577562
115,0.305739574,0.305739574,0.305739574,05/01/2016 19:00,167.9515237,40.92055077,584.0812145
116,0.169067288,0.169067288,0.169067288,05/01/2016 20:00,92.87509338,24.83682798,316.6497972
117,0.210787712,0.210787712,0.210787712,05/01/2016 21:00,115.7956787,30.05919885,468.9869602
118,0.341564937,0.341564937,0.341564937,05/01/2016 22:00,187.6409961,48.20929799,718.2951153
